9977.99, 9977.99, 9977.99, 9977.99, 9977.99, 9977.99, 9977.99, 9977.99, 9977.99, 9977.98, 9977.98, 9977.98, 9977.98, 9977.98, 9977.98, 9977.98, 9977.97, 9977.97, 9977.97, 9977.97, 9977.97, 9977.96, 9977.96, 9977.96, 9977.95, 9977.95, 9977.95, 9977.95, 9977.94, 9977.94, 9977.93, 9977.93, 9977.93, 9977.92, 9977.92, 9977.91, 9977.91, 9977.9, 9977.9, 9977.9, 9977.89, 9977.88, 9977.88, 9977.87, 9977.87, 9977.86, 9977.86, 9977.85, 9977.84, 9977.84, 9977.83, 9977.82, 9977.82, 9977.81, 9977.8, 9977.8, 9977.79, 9977.78, 9977.77, 9977.76, 9977.76, 9977.75, 9977.74, 9977.73, 9977.72, 9977.71, 9977.71, 9977.7, 9977.69, 9977.68, 9977.68, 9977.67, 9977.66, 9977.65, 9977.64, 9977.64, 9977.63, 9977.62, 9977.61, 9977.61, 9977.6, 9977.59, 9977.58, 9977.58, 9977.57, 9977.56, 9977.55, 9977.55, 9977.54, 9977.53, 9977.53, 9977.52, 9977.51, 9977.5, 9977.5, 9977.49, 9977.48, 9977.48, 9977.47, 9977.46, 9977.45, 9977.45, 9977.44, 9977.43, 9977.43, 9977.42, 9977.41, 9977.4, 9977.4, 9977.39, 9977.38, 9977.38, 9977.37, 9977.36, 9977.35, 9977.35, 9977.34, 9977.33, 9977.33, 9977.32, 9977.31, 9977.3, 9977.3, 9977.29, 9977.28, 9977.27, 9977.27, 9977.26, 9977.25, 9977.24, 9977.23, 9977.23, 9977.22, 9977.21, 9977.2, 9977.2, 9977.19, 9977.18, 9977.17, 9977.16, 9977.15, 9977.15, 9977.14, 9977.13, 9977.12, 9977.11, 9977.11, 9977.1, 9977.09, 9977.08, 9977.08, 9977.07, 9977.06, 9977.06, 9977.05, 9977.05, 9977.04, 9977.03, 9977.03, 9977.02, 9977.02, 9977.01, 9977.01, 9977, 9977, 9976.99, 9976.99, 9976.98, 9976.98, 9976.98, 9976.97, 9976.97, 9976.96, 9976.96, 9976.96, 9976.95, 9976.95, 9976.95, 9976.94, 9976.94, 9976.94, 9976.94, 9976.93, 9976.93, 9976.93, 9976.93, 9976.93, 9976.92, 9976.92, 9976.92, 9976.92, 9976.92, 9976.92, 9976.92, 9976.92, 9976.92, 9976.91, 9976.91, 9976.91, 9976.91, 9976.91, 9976.91, 
9977.96, 9977.96, 9977.96, 9977.96, 9977.96, 9977.96, 9977.96, 9977.96, 9977.96, 9977.96, 9977.96, 9977.96, 9977.96, 9977.95, 9977.95, 9977.95, 9977.95, 9977.95, 9977.94, 9977.94, 9977.94, 9977.94, 9977.93, 9977.93, 9977.93, 9977.93, 9977.92, 9977.92, 9977.92, 9977.91, 9977.91, 9977.91, 9977.9, 9977.9, 9977.89, 9977.89, 9977.88, 9977.88, 9977.88, 9977.87, 9977.87, 9977.86, 9977.86, 9977.85, 9977.85, 9977.84, 9977.84, 9977.83, 9977.83, 9977.82, 9977.81, 9977.81, 9977.8, 9977.8, 9977.79, 9977.78, 9977.78, 9977.77, 9977.77, 9977.76, 9977.75, 9977.75, 9977.74, 9977.73, 9977.73, 9977.72, 9977.71, 9977.7, 9977.7, 9977.69, 9977.68, 9977.68, 9977.67, 9977.66, 9977.65, 9977.65, 9977.64, 9977.63, 9977.62, 9977.62, 9977.61, 9977.6, 9977.59, 9977.59, 9977.58, 9977.57, 9977.56, 9977.56, 9977.55, 9977.54, 9977.53, 9977.53, 9977.52, 9977.51, 9977.5, 9977.49, 9977.49, 9977.48, 9977.47, 9977.46, 9977.45, 9977.45, 9977.44, 9977.43, 9977.42, 9977.42, 9977.41, 9977.4, 9977.39, 9977.38, 9977.38, 9977.37, 9977.36, 9977.35, 9977.35, 9977.34, 9977.33, 9977.32, 9977.31, 9977.31, 9977.3, 9977.29, 9977.28, 9977.28, 9977.27, 9977.26, 9977.25, 9977.25, 9977.24, 9977.23, 9977.23, 9977.22, 9977.21, 9977.2, 9977.2, 9977.19, 9977.18, 9977.18, 9977.17, 9977.16, 9977.16, 9977.15, 9977.14, 9977.14, 9977.13, 9977.12, 9977.12, 9977.11, 9977.11, 9977.1, 9977.09, 9977.09, 9977.08, 9977.08, 9977.07, 9977.07, 9977.06, 9977.06, 9977.05, 9977.05, 9977.04, 9977.04, 9977.03, 9977.03, 9977.02, 9977.02, 9977.01, 9977.01, 9977, 9977, 9977, 9976.99, 9976.99, 9976.99, 9976.98, 9976.98, 9976.98, 9976.97, 9976.97, 9976.97, 9976.97, 9976.96, 9976.96, 9976.96, 9976.96, 9976.95, 9976.95, 9976.95, 9976.95, 9976.95, 9976.95, 9976.94, 9976.94, 9976.94, 9976.94, 9976.94, 9976.94, 9976.94, 9976.94, 9976.94, 9976.94, 9976.94, 
9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.68, 9977.67, 9977.67, 9977.67, 9977.67, 9977.67, 9977.67, 9977.67, 9977.67, 9977.66, 9977.66, 9977.66, 9977.66, 9977.66, 9977.66, 9977.65, 9977.65, 9977.65, 9977.65, 9977.65, 9977.65, 9977.64, 9977.64, 9977.64, 9977.64, 9977.63, 9977.63, 9977.63, 9977.63, 9977.63, 9977.62, 9977.62, 9977.62, 9977.62, 9977.61, 9977.61, 9977.61, 9977.6, 9977.6, 9977.6, 9977.6, 9977.59, 9977.59, 9977.59, 9977.58, 9977.58, 9977.58, 9977.58, 9977.57, 9977.57, 9977.57, 9977.56, 9977.56, 9977.56, 9977.55, 9977.55, 9977.55, 9977.54, 9977.54, 9977.54, 9977.53, 9977.53, 9977.53, 9977.52, 9977.52, 9977.52, 9977.51, 9977.51, 9977.5, 9977.5, 9977.5, 9977.49, 9977.49, 9977.49, 9977.48, 9977.48, 9977.48, 9977.47, 9977.47, 9977.46, 9977.46, 9977.46, 9977.45, 9977.45, 9977.45, 9977.44, 9977.44, 9977.43, 9977.43, 9977.43, 9977.42, 9977.42, 9977.42, 9977.41, 9977.41, 9977.4, 9977.4, 9977.4, 9977.39, 9977.39, 9977.39, 9977.38, 9977.38, 9977.38, 9977.37, 9977.37, 9977.37, 9977.36, 9977.36, 9977.36, 9977.35, 9977.35, 9977.35, 9977.34, 9977.34, 9977.34, 9977.33, 9977.33, 9977.33, 9977.32, 9977.32, 9977.32, 9977.31, 9977.31, 9977.31, 9977.31, 9977.3, 9977.3, 9977.3, 9977.29, 9977.29, 9977.29, 9977.29, 9977.28, 9977.28, 9977.28, 9977.28, 9977.27, 9977.27, 9977.27, 9977.27, 9977.27, 9977.26, 9977.26, 9977.26, 9977.26, 9977.25, 9977.25, 9977.25, 9977.25, 9977.25, 9977.25, 9977.24, 9977.24, 9977.24, 9977.24, 9977.24, 9977.24, 9977.23, 9977.23, 9977.23, 9977.23, 9977.23, 9977.23, 9977.23, 9977.23, 9977.23, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 9977.22, 
9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 
9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.32, 9977.33, 9977.33, 9977.33, 9977.33, 9977.33, 9977.33, 9977.33, 9977.33, 9977.33, 9977.33, 9977.33, 9977.33, 9977.33, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.36, 9977.36, 9977.36, 9977.36, 9977.36, 9977.36, 9977.36, 9977.37, 9977.37, 9977.37, 9977.37, 9977.37, 9977.37, 9977.38, 9977.38, 9977.38, 9977.38, 9977.38, 9977.39, 9977.39, 9977.39, 9977.39, 9977.39, 9977.39, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.51, 9977.51, 9977.51, 9977.51, 9977.51, 9977.52, 9977.52, 9977.52, 9977.52, 9977.52, 9977.52, 9977.53, 9977.53, 9977.53, 9977.53, 9977.53, 9977.53, 9977.54, 9977.54, 9977.54, 9977.54, 9977.54, 9977.54, 9977.54, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 9977.58, 
9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.34, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.35, 9977.36, 9977.36, 9977.36, 9977.36, 9977.36, 9977.36, 9977.36, 9977.36, 9977.36, 9977.37, 9977.37, 9977.37, 9977.37, 9977.37, 9977.37, 9977.37, 9977.38, 9977.38, 9977.38, 9977.38, 9977.38, 9977.38, 9977.38, 9977.39, 9977.39, 9977.39, 9977.39, 9977.39, 9977.39, 9977.39, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.51, 9977.51, 9977.51, 9977.51, 9977.51, 9977.51, 9977.52, 9977.52, 9977.52, 9977.52, 9977.52, 9977.52, 9977.52, 9977.53, 9977.53, 9977.53, 9977.53, 9977.53, 9977.53, 9977.53, 9977.53, 9977.54, 9977.54, 9977.54, 9977.54, 9977.54, 9977.54, 9977.54, 9977.54, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.55, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.56, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 9977.57, 
9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.4, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.41, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.49, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 9977.5, 
9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 
9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 9977.42, 
9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.48, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.47, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.46, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.45, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.44, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 9977.43, 
