0.0920005, 0.0920005, 0.0920005, 0.0920003, 0.0920002, 0.092, 0.0919997, 0.0919993, 0.0919989, 0.0919985, 0.0919979, 0.0919973, 0.0919966, 0.0919959, 0.0919952, 0.0919945, 0.0919937, 0.0919929, 0.091992, 0.0919911, 0.0919902, 0.0919892, 0.0919881, 0.091987, 0.0919857, 0.0919844, 0.0919831, 0.0919816, 0.0919799, 0.0919784, 0.0919772, 0.0919761, 0.0919751, 0.0919743, 0.0919737, 0.0919732, 0.0919728, 0.0919725, 0.0919724, 0.0919724, 
0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910526, 0.0910525, 0.0910525, 0.0910525, 0.0910525, 0.0910525, 0.0910525, 0.0910525, 0.0910525, 0.0910525, 0.0910525, 0.0910525, 0.0910525, 
0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903692, 0.0903691, 0.0903692, 0.090369, 0.090369, 0.090369, 0.090369, 0.090369, 0.090369, 0.090369, 0.090369, 0.090369, 0.090369, 0.090369, 0.090369, 
0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.0898701, 0.08987, 0.08987, 0.08987, 0.08987, 0.08987, 0.08987, 0.08987, 0.08987, 0.08987, 0.08987, 0.08987, 0.08987, 
0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895057, 0.0895055, 0.0895055, 0.0895055, 0.0895055, 0.0895055, 0.0895055, 0.0895055, 0.0895055, 0.0895055, 0.0895055, 0.0895055, 0.0895055, 
0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892396, 0.0892394, 0.0892394, 0.0892394, 0.0892394, 0.0892394, 0.0892394, 0.0892394, 0.0892394, 0.0892394, 0.0892394, 0.0892394, 0.0892394, 
0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890453, 0.0890452, 0.0890452, 0.0890451, 0.0890451, 0.0890451, 0.0890451, 0.0890451, 0.0890451, 0.0890451, 0.0890451, 0.0890451, 0.0890451, 0.0890451, 0.0890451, 
0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889034, 0.0889032, 0.0889032, 0.0889032, 0.0889032, 0.0889032, 0.0889032, 0.0889032, 0.0889032, 0.0889032, 0.0889032, 0.0889032, 0.0889032, 
0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887998, 0.0887997, 0.0887996, 0.0887996, 0.0887996, 0.0887996, 0.0887996, 0.0887996, 0.0887996, 0.0887996, 0.0887996, 0.0887996, 0.0887996, 0.0887996, 
0.0887242, 0.0887242, 0.0887242, 0.0887242, 0.0887242, 0.0887242, 0.0887242, 0.0887242, 0.0887242, 0.0887242, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.0887241, 0.088724, 0.088724, 0.088724, 0.088724, 0.088724, 0.088724, 0.088724, 0.088724, 0.088724, 0.088724, 0.088724, 0.088724, 
