1, 0.999883, 0.999816, 0.999753, 0.99969, 0.999627, 0.999563, 0.9995, 0.999437, 0.999373, 0.99931, 0.999246, 0.999183, 0.999119, 0.999055, 0.998991, 0.998927, 0.998863, 0.998799, 0.998734, 0.99867, 0.998605, 0.99854, 0.998475, 0.99841, 0.998345, 0.998279, 0.998214, 0.998148, 0.998082, 0.998015, 0.997949, 0.997882, 0.997815, 0.997748, 0.99768, 0.997612, 0.997544, 0.997476, 0.997407, 0.997338, 0.997269, 0.9972, 0.99713, 0.99706, 0.996989, 0.996918, 0.996847, 0.99683, 0.999909, 
1, 1.00001, 1, 0.999957, 0.999869, 0.999721, 0.999502, 0.999189, 0.998767, 0.998187, 0.997434, 0.996393, 0.995074, 0.993216, 0.990983, 0.987754, 0.984225, 0.981389, 0.978713, 0.976401, 0.974327, 0.972512, 0.970924, 0.969554, 0.968397, 0.967436, 0.966643, 0.965993, 0.965463, 0.965033, 0.964685, 0.964404, 0.964174, 0.963977, 0.963825, 0.963664, 0.96358, 0.963564, 0.963538, 0.963506, 0.963472, 0.963428, 0.963382, 0.963333, 0.963314, 0.963229, 0.963163, 0.963083, 0.96329, 0.963232, 
1, 1.00002, 0.999994, 0.999886, 0.999695, 0.999394, 0.998967, 0.998378, 0.997603, 0.99658, 0.995287, 0.99361, 0.99156, 0.988887, 0.985751, 0.98154, 0.976924, 0.972874, 0.968894, 0.965217, 0.961747, 0.958526, 0.955533, 0.95277, 0.950226, 0.947895, 0.945769, 0.943833, 0.942078, 0.940471, 0.939018, 0.937633, 0.936393, 0.93503, 0.933928, 0.932169, 0.931292, 0.931587, 0.931492, 0.931513, 0.931508, 0.931504, 0.931505, 0.931495, 0.931507, 0.931486, 0.931511, 0.931446, 0.931563, 0.931553, 
1, 1.00002, 0.999993, 0.999842, 0.999579, 0.999171, 0.998597, 0.997819, 0.99681, 0.995506, 0.99388, 0.991819, 0.989331, 0.986172, 0.982499, 0.977722, 0.972496, 0.967763, 0.96304, 0.958552, 0.954207, 0.95005, 0.946064, 0.942255, 0.938618, 0.935143, 0.931827, 0.928634, 0.925579, 0.922565, 0.919677, 0.916636, 0.913799, 0.910308, 0.90747, 0.902584, 0.900119, 0.901105, 0.900714, 0.900859, 0.900808, 0.900823, 0.900821, 0.900816, 0.900827, 0.900808, 0.90084, 0.900782, 0.900881, 0.90088, 
1, 1.00003, 0.999992, 0.999812, 0.999501, 0.99902, 0.998348, 0.997444, 0.996278, 0.994787, 0.992943, 0.990632, 0.987861, 0.984392, 0.980378, 0.975246, 0.969634, 0.964453, 0.959232, 0.954189, 0.94923, 0.944396, 0.939667, 0.935041, 0.930513, 0.926055, 0.921672, 0.917291, 0.912957, 0.908473, 0.904047, 0.899119, 0.894446, 0.888383, 0.883464, 0.874744, 0.870335, 0.872221, 0.871403, 0.871742, 0.871604, 0.871658, 0.871639, 0.871641, 0.871649, 0.871631, 0.871663, 0.871608, 0.871701, 0.8717, 
1, 1.00003, 0.999992, 0.99979, 0.999442, 0.998907, 0.998163, 0.997167, 0.995888, 0.994263, 0.992262, 0.989773, 0.986801, 0.983116, 0.978862, 0.973484, 0.967603, 0.9621, 0.956512, 0.951046, 0.945606, 0.940226, 0.934881, 0.929557, 0.924246, 0.918899, 0.913527, 0.908007, 0.902426, 0.896466, 0.890479, 0.88359, 0.877013, 0.86823, 0.861139, 0.84838, 0.841939, 0.844799, 0.843496, 0.844069, 0.84382, 0.843925, 0.843883, 0.843896, 0.843899, 0.843884, 0.843913, 0.843861, 0.843949, 0.843949, 
1, 1.00004, 0.999991, 0.999771, 0.999394, 0.998814, 0.998011, 0.996941, 0.995572, 0.99384, 0.991714, 0.989084, 0.985953, 0.982096, 0.977654, 0.972085, 0.965992, 0.960227, 0.954335, 0.948511, 0.942658, 0.936797, 0.930899, 0.924938, 0.918902, 0.912716, 0.906399, 0.899777, 0.892981, 0.885566, 0.878043, 0.8692, 0.860742, 0.849249, 0.840023, 0.823283, 0.81486, 0.818696, 0.816888, 0.817715, 0.817339, 0.817507, 0.817435, 0.817462, 0.817458, 0.817446, 0.817474, 0.817424, 0.817508, 0.817508, 
1, 1.00004, 0.99999, 0.999754, 0.99935, 0.998731, 0.997876, 0.99674, 0.995291, 0.993464, 0.991228, 0.988474, 0.985204, 0.981197, 0.976589, 0.970853, 0.964573, 0.958572, 0.952404, 0.946252, 0.940013, 0.933702, 0.927282, 0.920714, 0.913981, 0.906987, 0.899757, 0.892064, 0.884088, 0.875254, 0.86624, 0.855497, 0.845228, 0.831116, 0.819859, 0.799324, 0.789034, 0.793811, 0.791499, 0.792588, 0.792078, 0.792314, 0.792207, 0.792252, 0.792239, 0.792232, 0.792256, 0.79221, 0.79229, 0.79229, 
1, 1.00004, 0.999989, 0.999738, 0.999309, 0.998652, 0.997747, 0.996548, 0.995022, 0.993106, 0.990766, 0.987895, 0.984493, 0.980344, 0.975578, 0.969682, 0.963223, 0.956996, 0.950561, 0.94409, 0.937477, 0.930727, 0.923798, 0.916637, 0.909227, 0.901443, 0.893324, 0.88459, 0.875472, 0.865266, 0.85482, 0.842253, 0.830265, 0.813666, 0.800509, 0.776425, 0.764409, 0.770075, 0.767272, 0.768624, 0.767975, 0.768284, 0.768139, 0.768203, 0.76818, 0.768179, 0.7682, 0.768156, 0.768232, 0.768232, 
1, 1.00004, 0.999989, 0.999722, 0.999267, 0.998573, 0.997618, 0.996357, 0.994756, 0.99275, 0.990307, 0.98732, 0.983787, 0.979496, 0.974573, 0.968517, 0.961879, 0.955425, 0.948723, 0.941934, 0.93495, 0.927764, 0.920333, 0.912588, 0.904511, 0.895954, 0.88697, 0.877224, 0.867003, 0.855477, 0.843666, 0.829362, 0.815757, 0.79682, 0.781906, 0.754536, 0.740944, 0.747439, 0.744165, 0.745776, 0.744986, 0.74537, 0.745185, 0.745271, 0.745237, 0.745241, 0.745259, 0.745218, 0.745291, 0.74529, 
